Features
lift_pressure
HT_SINE_1
CDLHANGINGMAN
CDLBELTHOLD
CDLMARUBOZU
BOP
TANH
CDLGRAVESTONEDOJI
CDLCLOSINGMARUBOZU
num_lift
hit_pre
lift_pre
CDLLONGLINE
CDLSEPARATINGLINES
CORREL
hit_change
MINUS_DM
COS
CDLDOJISTAR
lift_volume
CDLHIKKAKE
PLUS_DI
ATR
CDLINVERTEDHAMMER
TRANGE
STDDEV
HT_TRENDMODE
HT_DCPERIOD
SUB
CDLSPINNINGTOP
CDLHIGHWAVE
WILLR
STOCH_1
ULTOSC
CCI
hit_pressure
STOCHF_0
STOCHRSI_1
PPO
STOCHRSI_0
MFI
HT_DCPHASE
MOM
CDLMATCHINGLOW
TRIX
CDLGAPSIDESIDEWHITE
ADOSC
AD
imb_ratio
SAREXT
HT_PHASOR_0
MACDEXT_2
MACDEXT_1
ADXR
num_hit
ADX
OBV
HT_SINE_0
CDLHAMMER
hit_volume
NATR
DX
MINUS_DI
CDLDOJI
BETA
CDLTRISTAR
DIV
lift_change
HT_PHASOR_1
volume
SIN
CDLSHORTLINE
